,Location,Stake,Ward,AdultVolunteer,YouthVolunteer,Bags,RouteTime,MultiRoute,Comments,CompletedRoutes,RouteDoors,OverallTime
182,Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,5,3,24.0,40.0,No,,1.0,157.0,40.0
183,Bearspaw Chapel,Bonnie Doon Stake,Southgate Ward,4,5,34.0,55.0,No,,1.0,157.0,55.0
184,Riverbend Stake Centre,Riverbend Stake,Rabbit Hill Ward,1,1,30.0,45.0,No,,1.0,158.0,40.0
185,Bearspaw Chapel,Bonnie Doon Stake,Strathcona Married Student Ward,2,0,11.0,38.0,No,There were many no soliciting signs on our route. Many houses still had bags in the mailboxes and appeared uninhabited.,1.0,158.0,43.0
186,Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,1,2,15.0,55.0,No,,1.0,158.0,70.0
187,Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,2,1,20.0,50.0,No,Im not sure if you are asking how much time to deliver the route or pick it up. Questions should be more specific.,1.0,158.0,45.0
188,Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,3,0,22.0,90.0,Yes,,2.0,158.0,180.0
189,Riverbend Stake Centre,Riverbend Stake,Rutherford Ward,2,0,12.0,35.0,No,,1.0,159.0,25.0
190,Riverbend Stake Centre,Riverbend Stake,Rutherford Ward,3,0,14.0,30.0,No,,1.0,159.0,40.0
191,Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,1,4,30.0,45.0,No,,1.0,160.0,45.0
192,Riverbend Stake Centre,Riverbend Stake,Woodbend Ward,2,0,20.0,70.0,No,,1.0,160.0,75.0
193,Gateway Stake Centre,Gateway Stake,Lee Ridge Ward,2,0,23.0,25.0,No,,1.0,160.0,25.0
194,North Stake Centre,Edmonton North Stake,Namao Ward,2,0,23.0,100.0,No,,1.0,160.0,100.0
195,Bonnie Doon Stake Centre,Bonnie Doon Stake,Connors Hill Ward,3,1,40.0,60.0,No,,1.0,160.0,44.0
196,Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,1,2,25.0,45.0,No,,1.0,160.0,120.0
197,Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,1,1,20.0,60.0,No,Great,1.0,161.0,55.0
198,Coronation Park Chapel,North Edmonton,Belmead,3,0,12.0,52.5,No,,1.0,161.0,82.5
199,Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,1,2,15.0,45.0,Yes,,2.0,162.0,110.0
200,Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,2,0,8.0,60.0,No,,1.0,162.0,60.0
201,Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,6,5,48.0,49.0,No,,1.0,162.0,42.0
202,Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,1,2,20.0,120.0,Yes,,2.0,163.0,65.0
203,Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,1,0,23.0,60.0,No,,1.0,163.0,90.0
204,Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,3,3,55.0,47.0,No,,1.0,165.0,47.0
205,Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,2,2,60.0,60.0,Yes,"120, 118, 119",3.0,165.0,60.109725685785534
206,Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,2,1,30.0,40.0,Yes,,2.0,165.0,90.0
207,Gateway Stake Centre,Gateway Stake,Ellerslie Ward,2,0,11.0,15.0,No,,1.0,165.0,15.0
208,Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,3,4,25.0,35.0,Yes,,2.0,166.0,86.0
209,Gateway Stake Centre,Gateway Stake,Silver Berry Ward,2,0,24.0,40.0,No,It was great. So fun,1.0,167.0,50.0
210,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,0,6.0,15.0,No,,1.0,168.0,15.0
211,Gateway Stake Centre,Gateway Stake,Silver Berry Ward,4,0,26.0,50.0,No,,1.0,168.0,50.0
212,Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,1,2,20.0,60.0,Yes,,1.0,168.0,65.0
213,Gateway Stake Centre,Gateway Stake,Lee Ridge Ward,2,1,44.0,60.0,Yes,It was great,1.0,168.0,71.0
214,Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,2,4,24.0,40.0,No,,1.0,169.0,40.0
215,Bonnie Doon Stake Centre,Bonnie Doon Stake,Forest Heights Ward,1,3,11.0,30.0,Yes,,2.0,170.0,30.0
216,Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,7,0,17.0,40.0,No,,1.0,170.0,42.0
217,Gateway Stake Centre,Gateway Stake,Silver Berry Ward,2,0,17.0,40.0,No,,1.0,170.0,40.0
218,Riverbend Stake Centre,Riverbend Stake,Terwillegar Park Ward,1,1,24.0,90.0,No,,1.0,170.0,90.0
219,Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,3,0,30.0,45.0,No,,1.0,171.0,45.0
220,Riverbend Stake Centre,Riverbend Stake,Greenfield Ward,2,0,30.0,50.0,No,There were lots of homes with the bags in their mailboxes,1.0,172.0,50.0
221,Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,2,1,35.0,40.0,Yes,,2.0,172.0,60.0
222,North Stake Centre,Edmonton North Stake,Namao Ward,1,3,22.0,40.0,No,,1.0,172.0,40.0
223,Gateway Stake Centre,Gateway Stake,Lee Ridge Ward,1,2,32.0,35.0,No,40 houses dont allowed put bags,1.0,173.0,35.0
224,Riverbend Stake Centre,Riverbend Stake,Terwillegar Park Ward,2,4,29.0,40.0,Yes,,3.0,174.0,40.0
225,Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,2,32.0,60.0,No,,1.0,174.0,75.0
226,Gateway Stake Centre,Gateway Stake,Silver Berry Ward,2,0,30.0,55.0,No,No flyer houses -13,1.0,174.0,55.0
227,Riverbend Stake Centre,Riverbend Stake,Rutherford Ward,2,0,19.0,65.0,No,,1.0,174.0,65.0
228,North Stake Centre,Edmonton North Stake,Namao Ward,2,0,12.0,100.0,No,,1.0,175.0,95.0
229,Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,1,4,13.0,35.0,No,,1.0,177.0,40.0
230,Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,1,4,12.0,20.0,Yes,,2.0,178.0,20.0
231,Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,4,9,32.0,75.0,No,,1.0,178.0,75.0
232,Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,0,20.0,20.0,No,,1.0,179.0,20.0
233,Riverbend Stake Centre,Riverbend Stake,Woodbend Ward,2,1,35.0,30.0,No,,1.0,179.0,65.0
234,Londonderry Chapel,Bonnie Doon Stake,Londonderry Ward,2,3,35.0,60.0,No,Route: 16,1.0,180.0,60.0
235,Gateway Stake Centre,Gateway Stake,Silver Berry Ward,2,3,31.0,50.0,No,Sign for cars would be good and while dropping they should give shirts that show they are doing voluntary work,1.0,180.0,50.0
236,Bonnie Doon Stake Centre,Bonnie Doon Stake,Connors Hill Ward,1,1,40.0,150.0,Yes,No comment,2.0,180.0,95.0
237,Gateway Stake Centre,Gateway Stake,Ellerslie Ward,3,1,18.0,23.0,No,,1.0,180.0,23.0
238,Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,2,0,12.0,50.0,No,Route 182,1.0,180.0,63.0
239,Gateway Stake Centre,Gateway Stake,Ellerslie Ward,1,1,45.0,90.0,Yes,"1- 130,2-267. Need to change bags",1.0,180.0,90.0
240,Londonderry Chapel,Bonnie Doon Stake,Londonderry Ward,2,1,17.0,30.0,No,,1.0,182.0,60.109725685785534
241,Bonnie Doon Stake Centre,Bonnie Doon Stake,Connors Hill Ward,3,5,10.0,60.0,No,it was good,1.0,184.0,60.0
242,Gateway Stake Centre,Gateway Stake,Ellerslie Ward,3,1,28.0,27.0,No,,1.0,184.0,27.0
243,Londonderry Chapel,Bonnie Doon Stake,Londonderry Ward,2,0,28.0,45.0,No,64,1.0,185.0,60.109725685785534
244,Gateway Stake Centre,Gateway Stake,Silver Berry Ward,2,2,17.0,37.0,No,,1.0,186.0,37.0
245,Coronation Park Chapel,North Edmonton,Belmead,2,0,17.0,33.5,No,,1.0,186.0,33.5
246,Gateway Stake Centre,Gateway Stake,Silver Berry Ward,2,0,20.0,30.0,No,,1.0,186.0,30.0
247,Coronation Park Chapel,North Edmonton,Belmead,2,0,26.0,20.0,No,,1.0,187.0,40.0
248,Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,2,25.0,10.0,No,,1.0,190.0,50.0
249,Gateway Stake Centre,Gateway Stake,Ellerslie Ward,2,4,14.0,30.0,No,,1.0,190.0,31.0
250,Gateway Stake Centre,Gateway Stake,Ellerslie Ward,1,0,26.0,40.0,Yes,,2.0,191.0,36.0
251,Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,2,1,42.0,110.0,Yes,"30% first, 15 20 smaller. Routes: 170, 162",2.0,191.0,112.0
252,Gateway Stake Centre,Gateway Stake,Ellerslie Ward,2,1,22.0,50.0,No,,1.0,191.0,50.0
253,Riverbend Stake Centre,Riverbend Stake,Greenfield Ward,4,0,23.0,45.0,No,,1.0,192.0,60.0
254,Gateway Stake Centre,Gateway Stake,Silver Berry Ward,3,0,24.0,35.0,No,It' was a good gig.,1.0,194.0,40.0
255,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,3,20.0,60.0,Yes,,2.0,194.0,60.0
256,Bonnie Doon Stake Centre,Bonnie Doon Stake,Forest Heights Ward,4,0,42.0,60.0,Yes,,2.0,194.0,96.0
257,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,1,23.0,32.0,Yes,One and half route,1.0,195.0,32.0
258,Coronation Park Chapel,North Edmonton,Belmead,1,1,15.0,28.5,No,,1.0,195.0,31.0
259,Riverbend Stake Centre,Riverbend Stake,Greenfield Ward,2,2,30.0,25.0,No,,1.0,196.0,30.0
260,Gateway Stake Centre,Gateway Stake,Ellerslie Ward,2,2,20.0,60.0,No,Some of the empty bags,1.0,197.0,60.0
261,Gateway Stake Centre,Gateway Stake,Silver Berry Ward,2,2,17.0,37.0,Yes,,2.0,197.0,37.0
262,Gateway Stake Centre,Gateway Stake,Ellerslie Ward,2,4,25.0,34.0,No,,1.0,198.0,34.0
263,Gateway Stake Centre,Gateway Stake,Silver Berry Ward,2,0,20.0,30.0,No,,1.0,198.0,30.0
264,Londonderry Chapel,Bonnie Doon Stake,Londonderry Ward,2,2,19.0,45.0,No,,1.0,198.0,35.0
265,Riverbend Stake Centre,Riverbend Stake,Woodbend Ward,2,2,65.0,80.0,Yes,,2.0,200.0,80.0
266,Bearspaw Chapel,Gateway Stake,Beaumont Ward,2,2,20.0,45.0,Yes,,2.0,200.0,110.0
267,Bonnie Doon Stake Centre,Bonnie Doon Stake,Forest Heights Ward,2,4,32.0,45.0,No,No comment,1.0,200.0,73.0
268,Londonderry Chapel,Bonnie Doon Stake,Londonderry Ward,3,0,15.0,45.0,Yes,"Routes 34, 29",2.0,200.0,51.0
269,Londonderry Chapel,Bonnie Doon Stake,Londonderry Ward,1,2,35.0,45.0,No,50,1.0,200.0,60.109725685785534
270,Riverbend Stake Centre,Riverbend Stake,Greenfield Ward,2,0,44.0,80.0,No,,1.0,200.0,80.0
271,Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,2,2,40.0,70.0,Yes,Routes 159 & 160,2.0,200.0,70.0
272,Gateway Stake Centre,Gateway Stake,Ellerslie Ward,2,3,30.0,62.0,No,,1.0,200.0,63.0
273,Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,1,4,40.0,60.0,Yes,177 and 181,2.0,200.0,60.109725685785534
274,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,1,3,32.0,52.0,Yes,,1.0,200.0,52.0
275,Bearspaw Chapel,Bonnie Doon Stake,Southgate Ward,5,3,55.0,90.0,Yes,,3.0,200.0,90.0
276,Londonderry Chapel,Bonnie Doon Stake,Londonderry Ward,2,0,100.0,5.0,Yes,,2.0,200.0,49.0
277,Riverbend Stake Centre,Riverbend Stake,Greenfield Ward,2,10,29.0,40.0,Yes,,3.0,200.0,40.0
278,Gateway Stake Centre,Gateway Stake,Ellerslie Ward,2,5,25.0,45.0,No,Yellow bags were better,1.0,200.0,45.0
279,Bonnie Doon Stake Centre,Bonnie Doon Stake,Forest Heights Ward,2,3,28.0,57.0,Yes,,2.0,200.0,57.0
280,North Stake Centre,Edmonton North Stake,Griesbach Ward,2,2,16.0,60.0,No,,1.0,200.0,50.0
281,Coronation Park Chapel,North Edmonton,Belmead,2,3,12.0,90.0,No,,1.0,200.0,76.5
282,Riverbend Stake Centre,Riverbend Stake,Rabbit Hill Ward,4,0,56.0,120.0,Yes,,2.0,200.0,103.0
283,Bonnie Doon Stake Centre,Bonnie Doon Stake,Forest Heights Ward,2,1,40.0,30.0,No,,1.0,200.0,45.0
284,Coronation Park Chapel,North Edmonton,Belmead,2,0,29.0,28.0,No,,1.0,201.0,35.0
285,Gateway Stake Centre,Gateway Stake,Ellerslie Ward,1,1,18.0,26.0,No,,1.0,201.0,25.0
286,Coronation Park Chapel,North Edmonton,Belmead,1,2,16.0,29.0,No,,1.0,201.0,28.5
287,Gateway Stake Centre,Gateway Stake,Silver Berry Ward,2,3,21.0,32.0,No,,1.0,202.0,32.0
288,Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,2,25.0,75.0,No,,1.0,202.0,75.0
289,Gateway Stake Centre,Gateway Stake,Ellerslie Ward,1,2,28.0,35.0,No,,1.0,203.0,35.0
290,North Stake Centre,Edmonton North Stake,Griesbach Ward,2,4,23.0,50.0,No,,1.0,203.0,50.0
291,Gateway Stake Centre,Gateway Stake,Ellerslie Ward,2,2,34.0,28.0,No,,1.0,203.0,28.0
292,Gateway Stake Centre,Gateway Stake,Ellerslie Ward,1,2,10.0,30.0,No,,1.0,205.0,30.0
293,North Stake Centre,Edmonton North Stake,Griesbach Ward,1,1,23.0,45.0,No,,1.0,206.0,45.0
294,Gateway Stake Centre,Gateway Stake,Silver Berry Ward,3,4,33.0,30.0,Yes,,3.0,206.0,30.0
295,North Stake Centre,Edmonton North Stake,Griesbach Ward,2,1,21.0,45.0,No,,1.0,206.0,45.0
296,Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,3,3,37.0,60.0,No,,1.0,206.0,50.0
297,Gateway Stake Centre,Gateway Stake,Ellerslie Ward,2,2,33.0,50.0,Yes,,1.0,207.0,50.0
298,Gateway Stake Centre,Gateway Stake,Ellerslie Ward,2,4,40.0,37.0,No,,1.0,207.0,60.109725685785534
299,Riverbend Stake Centre,Riverbend Stake,Rutherford Ward,2,2,35.0,30.0,No,,1.0,207.0,30.0
300,Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,2,3,22.0,35.0,Yes,Route 8 Lee Ridge,2.0,207.0,32.0
301,Coronation Park Chapel,North Edmonton,Belmead,2,0,18.0,47.5,No,,1.0,207.0,48.5
302,Riverbend Stake Centre,Riverbend Stake,Rabbit Hill Ward,1,1,43.0,60.0,No,,1.0,208.0,65.0
303,Riverbend Stake Centre,Riverbend Stake,Greenfield Ward,2,1,48.0,44.0,Yes,,2.0,208.0,44.0
304,Gateway Stake Centre,Gateway Stake,Ellerslie Ward,3,2,30.0,40.0,No,,1.0,210.0,45.0
305,Coronation Park Chapel,North Edmonton,Belmead,1,3,13.0,155.0,No,,1.0,210.0,64.0
306,Riverbend Stake Centre,Riverbend Stake,Greenfield Ward,2,0,50.0,270.0,Yes,,1.0,210.0,83.0
307,North Stake Centre,Edmonton North Stake,Namao Ward,1,4,24.0,40.0,No,,1.0,211.0,40.0
308,Riverbend Stake Centre,Riverbend Stake,Greenfield Ward,3,0,54.0,75.0,No,,1.0,212.0,80.0
309,Coronation Park Chapel,North Edmonton,Belmead,2,3,47.0,67.5,No,,1.0,213.0,70.0
310,Gateway Stake Centre,Gateway Stake,Ellerslie Ward,2,2,35.0,60.0,No,,1.0,214.0,60.0
311,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,1,2,32.0,60.0,Yes,,2.0,215.0,60.0
312,Riverbend Stake Centre,Riverbend Stake,Rutherford Ward,2,2,40.0,75.0,No,,1.0,215.0,65.0
313,Gateway Stake Centre,Gateway Stake,Silver Berry Ward,2,2,36.0,35.0,No,,1.0,216.0,35.0
314,Coronation Park Chapel,North Edmonton,Belmead,2,1,24.0,28.333333333333332,No,,1.0,216.0,43.36990856192851
315,Coronation Park Chapel,North Edmonton,Belmead,2,1,37.0,21.666666666666664,No,,1.0,217.0,51.73981712385702
316,Londonderry Chapel,Bonnie Doon Stake,Londonderry Ward,2,0,5.0,15.0,No,8,1.0,218.0,60.109725685785534
317,Gateway Stake Centre,Gateway Stake,Rio Vista Ward,7,7,46.0,60.0,No,Fun to do,1.0,219.0,60.0
318,Coronation Park Chapel,North Edmonton,Belmead,1,1,30.0,56.666666666666664,No,,1.0,219.0,56.666666666666664
319,Coronation Park Chapel,North Edmonton,Belmead,3,0,25.0,53.333333333333336,No,,1.0,219.0,53.333333333333336
320,Gateway Stake Centre,Gateway Stake,Ellerslie Ward,2,3,20.0,50.0,No,,1.0,219.0,50.0
321,Gateway Stake Centre,Gateway Stake,Silver Berry Ward,2,0,24.0,60.0,No,The bags should have the food bank on it not a flyer!!,1.0,220.0,60.0
322,Riverbend Stake Centre,Riverbend Stake,Greenfield Ward,2,1,46.0,60.0,No,Its awesome,1.0,220.0,60.0
323,Riverbend Stake Centre,Riverbend Stake,Woodbend Ward,1,2,40.0,30.0,No,,1.0,220.0,30.0
324,Gateway Stake Centre,Gateway Stake,Ellerslie Ward,2,0,26.0,35.0,No,,1.0,220.0,35.0
325,Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,1,0,55.0,180.0,No,Route# 132,1.0,225.0,60.109725685785534
326,Gateway Stake Centre,Gateway Stake,Ellerslie Ward,1,1,25.0,25.0,No,,1.0,226.0,25.0
327,Coronation Park Chapel,North Edmonton,Belmead,3,0,57.0,42.5,No,,1.0,226.0,39.0
328,Gateway Stake Centre,Gateway Stake,Ellerslie Ward,2,1,40.0,60.0,Yes,Lots of bags weren't seen or picked up by house owners,1.0,228.0,53.0
329,Coronation Park Chapel,North Edmonton,Belmead,2,2,25.0,52.5,No,,1.0,228.0,49.0
330,Gateway Stake Centre,Gateway Stake,Silver Berry Ward,2,1,25.0,45.0,No,,1.0,230.0,45.0
331,Coronation Park Chapel,North Edmonton,Belmead,2,1,22.0,43.333333333333336,No,,1.0,234.0,50.0
332,Coronation Park Chapel,North Edmonton,Belmead,1,2,20.0,41.666666666666664,No,,1.0,234.0,55.0
333,Bonnie Doon Stake Centre,Bonnie Doon Stake,Connors Hill Ward,2,0,25.0,40.0,No,,1.0,235.0,60.0
334,Gateway Stake Centre,Gateway Stake,Silver Berry Ward,2,0,17.0,60.0,No,Way less donations this year. We were expecting more,1.0,235.0,78.0
335,Riverbend Stake Centre,Riverbend Stake,Rabbit Hill Ward,4,2,59.0,60.0,Yes,,2.0,236.0,60.0
336,North Stake Centre,Edmonton North Stake,Namao Ward,1,4,22.0,60.0,No,,1.0,236.0,90.0
337,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,1,1,15.0,55.0,Yes,,2.0,236.0,55.0
338,Gateway Stake Centre,Gateway Stake,Ellerslie Ward,2,4,50.0,45.0,No,More ppl should donate,1.0,236.0,60.0
339,Coronation Park Chapel,North Edmonton,Belmead,1,0,22.0,50.0,No,,1.0,237.0,61.25
340,Coronation Park Chapel,North Edmonton,Belmead,2,3,26.0,55.0,No,,1.0,237.0,62.5
341,Coronation Park Chapel,North Edmonton,Belmead,1,2,25.0,60.0,No,,1.0,239.0,63.75
342,Gateway Stake Centre,Gateway Stake,Ellerslie Ward,2,0,40.0,65.0,No,,1.0,239.0,65.0
343,Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,3,50.0,45.0,No,,1.0,240.0,45.0
344,Riverbend Stake Centre,Riverbend Stake,Rutherford Ward,2,0,35.0,90.0,Yes,,2.0,240.0,75.0
345,Coronation Park Chapel,North Edmonton,Belmead,2,2,45.0,75.0,No,,1.0,240.0,97.5
346,Parkland (Spruce Grove/Stony Plain),Edmonton North Stake,Stony Plain Ward,2,0,29.0,60.0,Yes,,3.0,240.0,120.0
347,Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,3,49.0,60.0,Yes,I would keep these routes together,2.0,241.0,89.0
348,Gateway Stake Centre,Gateway Stake,Silver Berry Ward,2,0,38.0,90.0,No,,1.0,243.0,90.0
349,Gateway Stake Centre,Gateway Stake,Silver Berry Ward,1,2,24.0,30.0,No,,1.0,244.0,28.0
350,Coronation Park Chapel,North Edmonton,Belmead,1,2,25.0,60.0,No,,1.0,245.0,59.0
351,Riverbend Stake Centre,Riverbend Stake,Rutherford Ward,3,0,34.0,90.0,Yes,,2.0,246.0,90.0
352,Bonnie Doon Stake Centre,Bonnie Doon Stake,Connors Hill Ward,2,0,25.0,60.0,No,Manageable but have lot of no flywrs,1.0,249.0,60.0
353,Londonderry Chapel,Bonnie Doon Stake,Londonderry Ward,2,1,35.0,60.0,Yes,"Routes 6,7 from calverts",2.0,250.0,57.0
354,Riverbend Stake Centre,Riverbend Stake,Terwillegar Park Ward,3,0,60.0,90.0,No,more people donated than last year yea!!!,1.0,250.0,90.0
355,Gateway Stake Centre,Gateway Stake,Silver Berry Ward,3,0,35.0,30.0,No,None,1.0,250.0,20.0
356,Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,2,3,24.0,45.0,Yes,,3.0,250.0,45.0
357,Coronation Park Chapel,North Edmonton,Belmead,1,0,14.0,43.333333333333336,No,,1.0,254.0,43.333333333333336
358,Coronation Park Chapel,North Edmonton,Belmead,2,1,27.0,41.666666666666664,No,,1.0,255.0,41.666666666666664
359,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,3,2,30.0,40.0,Yes,,2.0,256.0,40.0
360,Coronation Park Chapel,North Edmonton,Belmead,2,1,31.0,42.5,No,,1.0,256.0,45.0
361,Bearspaw Chapel,Bonnie Doon Stake,Southgate Ward,2,1,25.0,45.0,Yes,,2.0,256.0,50.0
362,Coronation Park Chapel,North Edmonton,Belmead,2,0,35.0,67.5,No,,1.0,257.0,70.0
363,Bearspaw Chapel,Bonnie Doon Stake,Southgate Ward,2,3,60.0,90.0,Yes,,2.0,257.0,90.0
364,Riverbend Stake Centre,Riverbend Stake,Rutherford Ward,5,0,28.0,60.0,Yes,,2.0,260.0,92.0
365,Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,1,4,41.0,25.0,No,,1.0,260.0,70.0
366,Gateway Stake Centre,Gateway Stake,Ellerslie Ward,1,2,20.0,50.0,Yes,,2.0,260.0,50.0
367,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,1,2,11.0,30.0,Yes,,2.0,261.0,33.0
368,Riverbend Stake Centre,Riverbend Stake,Terwillegar Park Ward,2,4,39.0,80.0,Yes,,3.0,262.0,80.0
369,Coronation Park Chapel,North Edmonton,Belmead,2,0,19.0,73.33333333333333,No,,1.0,264.0,73.33333333333333
370,Coronation Park Chapel,North Edmonton,Belmead,1,2,28.0,66.66666666666667,No,,1.0,264.0,66.66666666666667
371,Coronation Park Chapel,Bonnie Doon Stake,Coronation Park Ward,2,0,44.0,60.0,Yes,,2.0,266.0,60.0
372,Gateway Stake Centre,Gateway Stake,Silver Berry Ward,1,0,29.0,69.0,No,,1.0,266.0,60.0
373,Coronation Park Chapel,North Edmonton,Belmead,4,0,31.0,54.5,No,,1.0,267.0,50.0
374,Gateway Stake Centre,Gateway Stake,Crawford Plains Ward,2,0,27.0,40.0,Yes,First 142 2and 125,2.0,267.0,40.0
375,Coronation Park Chapel,North Edmonton,Belmead,0,2,30.0,38.75,No,,1.0,267.0,38.75
376,Coronation Park Chapel,North Edmonton,Belmead,2,0,47.0,37.5,No,,1.0,268.0,37.5
377,Coronation Park Chapel,North Edmonton,Belmead,2,3,54.0,36.25,No,,1.0,272.0,36.25
378,North Stake Centre,Edmonton North Stake,Namao Ward,1,3,30.0,35.0,No,,1.0,272.0,35.0
379,Coronation Park Chapel,North Edmonton,Belmead,2,0,28.0,57.5,No,,1.0,273.0,70.0
380,Riverbend Stake Centre,Riverbend Stake,Rabbit Hill Ward,1,0,25.0,80.0,Yes,,2.0,273.0,105.0
381,Coronation Park Chapel,North Edmonton,Belmead,1,1,16.0,77.14285714285714,No,,1.0,273.0,98.57142857142857
382,Coronation Park Chapel,North Edmonton,Belmead,1,1,30.0,74.28571428571429,No,,1.0,273.0,92.14285714285714
383,Coronation Park Chapel,North Edmonton,Belmead,2,3,37.0,71.42857142857143,No,,1.0,275.0,85.71428571428572
384,Coronation Park Chapel,North Edmonton,Belmead,0,2,18.0,68.57142857142857,No,,1.0,275.0,79.28571428571428
385,Coronation Park Chapel,North Edmonton,Belmead,3,1,38.0,65.71428571428571,No,,1.0,278.0,72.85714285714286
386,Coronation Park Chapel,North Edmonton,Belmead,1,3,55.0,62.85714285714286,No,,1.0,279.0,66.42857142857143
387,Riverbend Stake Centre,Riverbend Stake,Terwillegar Park Ward,3,3,40.0,60.0,Yes,,2.0,280.0,60.0
388,Bonnie Doon Stake Centre,Bonnie Doon Stake,Connors Hill Ward,1,0,19.0,60.0,Yes,,2.0,280.0,63.0
389,Coronation Park Chapel,North Edmonton,Belmead,1,1,20.0,61.666666666666664,No,,1.0,280.0,65.0
390,Coronation Park Chapel,North Edmonton,Belmead,3,3,19.0,63.333333333333336,No,,1.0,281.0,67.0
391,Coronation Park Chapel,North Edmonton,Belmead,1,0,23.0,65.0,No,,1.0,281.0,69.0
392,Coronation Park Chapel,North Edmonton,Belmead,2,3,61.0,66.66666666666667,No,,1.0,284.0,71.0
393,Coronation Park Chapel,North Edmonton,Belmead,1,2,31.0,68.33333333333333,No,,1.0,284.0,73.0
394,Riverbend Stake Centre,Riverbend Stake,Terwillegar Park Ward,2,0,44.0,70.0,Yes,Equal no of bags collected like last year,1.0,285.0,75.0
395,Coronation Park Chapel,North Edmonton,Belmead,2,2,40.0,69.23076923076923,No,,1.0,288.0,75.38461538461539
396,Coronation Park Chapel,North Edmonton,Belmead,2,3,32.0,68.46153846153847,No,,1.0,288.0,75.76923076923077
397,Coronation Park Chapel,North Edmonton,Belmead,1,0,35.0,67.6923076923077,No,,1.0,288.0,76.15384615384616
398,Coronation Park Chapel,North Edmonton,Belmead,1,2,31.0,66.92307692307692,No,,1.0,289.0,76.53846153846153
399,Coronation Park Chapel,North Edmonton,Belmead,1,3,13.0,66.15384615384616,No,,1.0,289.0,76.92307692307692
400,Coronation Park Chapel,North Edmonton,Belmead,2,3,21.0,65.38461538461539,No,,1.0,289.0,77.3076923076923
401,Coronation Park Chapel,North Edmonton,Belmead,3,0,43.0,64.61538461538461,No,,1.0,293.0,77.6923076923077
402,Coronation Park Chapel,North Edmonton,Belmead,1,1,33.0,63.84615384615385,No,,1.0,293.0,78.07692307692308
403,Coronation Park Chapel,North Edmonton,Belmead,1,3,80.0,63.07692307692308,No,,1.0,296.0,78.46153846153847
404,Coronation Park Chapel,North Edmonton,Belmead,1,0,33.0,62.30769230769231,No,,1.0,297.0,78.84615384615384
405,Coronation Park Chapel,North Edmonton,Belmead,2,3,27.0,61.53846153846154,No,,1.0,298.0,79.23076923076923
406,Coronation Park Chapel,North Edmonton,Belmead,1,1,38.0,60.76923076923077,No,,1.0,299.0,79.61538461538461
407,Riverbend Stake Centre,Riverbend Stake,Terwillegar Park Ward,2,1,80.0,60.0,Yes,,2.0,300.0,80.0
408,Londonderry Chapel,Bonnie Doon Stake,Clareview Ward,1,0,38.0,90.0,Yes,"2twice over. Routes: 145,146",2.0,300.0,114.0
